scenario,line,max_utilisation_pct,mean_utilisation_pct,hours_above_threshold,congestion_severity_pct_hours,peak_abs_flow_mw,flow_mwh_during_congested_hours,bottleneck_rank_score
high_solar_growth,Noord-Holland__Zuid-Holland,100.0,46.41735250485176,21,158.08773990653583,1200.0,24577.05287887843,183.71479278541426
high_solar_growth,Noord-Holland__Friesland,100.0,39.72593569675663,18,147.8227356836158,850.0,15026.493253310735,163.74922893692656
high_wind_offshore_growth,Noord-Brabant__Zeeland,100.0,80.80314878191432,110,1051.897522736047,520.0,56949.86711822744,1114.3473898542745
high_wind_offshore_growth,Flevoland__Overijssel,100.0,78.17066101017546,100,987.4782344559165,420.0,41947.40858471485,1034.4256430406315
high_wind_offshore_growth,Gelderland__Overijssel,100.0,77.16000149517062,98,927.6293945625348,600.0,58485.77636737521,991.01517092991
high_wind_offshore_growth,Gelderland__Limburg,100.0,68.86318525220466,69,660.596733701647,500.0,34352.983668508234,698.3997173701554
high_wind_offshore_growth,Overijssel__Drenthe,100.0,63.285302926388354,60,588.7033351065176,450.0,26949.16500797933,618.6525001144969
high_wind_offshore_growth,Noord-Brabant__Limburg,100.0,64.44930754562206,57,508.8627996531643,620.0,34960.94935784962,546.6737490110139
high_wind_offshore_growth,Drenthe__Groningen,100.0,54.71901281595295,44,406.6094050367834,420.0,18339.75950115449,427.1491645379379
high_wind_offshore_growth,Friesland__Groningen,100.0,56.06985787884122,46,387.3991064780821,500.0,22636.99553239041,412.33610201047253
high_wind_offshore_growth,Zuid-Holland__Zeeland,100.0,51.583098513441904,34,322.0272139505986,700.0,23674.190497654192,347.4014044482528
high_wind_offshore_growth,Utrecht__Gelderland,100.0,46.77698938964255,31,303.12934100930255,650.0,20105.340716560466,324.78468172586304
high_wind_offshore_growth,Utrecht__Noord-Brabant,100.0,47.23500345303371,27,250.8590631057834,750.0,20106.442973293375,272.3155060790768
high_wind_offshore_growth,Noord-Holland__Utrecht,100.0,56.09444481959095,29,185.49726683248815,900.0,25159.475401492396,212.10674223398053
high_wind_offshore_growth,Noord-Holland__Flevoland,100.0,46.5580521343681,20,166.86069880706322,650.0,12784.594542245912,180.64529334930913
high_wind_offshore_growth,Friesland__Flevoland,100.0,46.19243246814048,19,162.3586633701732,450.0,8425.613985165779,171.73427735533895
high_wind_offshore_growth,Noord-Holland__Zuid-Holland,100.0,36.002428948983074,15,123.15064000538693,1200.0,17677.807680064645,141.57844768545158
high_wind_offshore_growth,Zuid-Holland__Utrecht,100.0,48.58394352663466,11,95.73796430063473,850.0,9228.772696555396,105.51673699719012
high_wind_offshore_growth,Noord-Holland__Friesland,100.0,32.76227290322678,10,87.38265814050825,850.0,8392.75259419432,96.27541073470258
targeted_grid_reinforcement,Noord-Brabant__Zeeland,100.0,77.11649449501422,102,975.3112930444267,520.0,52807.61872383102,1033.2189117682578
targeted_grid_reinforcement,Gelderland__Limburg,100.0,75.72907480100707,96,889.7930954408241,500.0,47648.965477204125,942.2420609180282
targeted_grid_reinforcement,Flevoland__Overijssel,100.0,69.39228391177865,80,754.2000169485974,567.0,45100.31409609855,803.300331044696
targeted_grid_reinforcement,Noord-Brabant__Limburg,100.0,70.22550376616289,75,668.8513889967633,620.0,45996.87861177993,718.5982676085432
targeted_grid_reinforcement,Gelderland__Overijssel,100.0,68.63352049376947,69,671.6054156257708,600.0,41289.63249375462,716.3450481195255
targeted_grid_reinforcement,Overijssel__Drenthe,100.0,63.41070852006468,66,635.5830361824001,450.0,29590.1236628208,668.4731598452208
targeted_grid_reinforcement,Drenthe__Groningen,100.0,63.00265120898714,62,594.3663439626956,420.0,25932.33864464332,623.398682607339
targeted_grid_reinforcement,Utrecht__Gelderland,100.0,55.31028599315349,48,444.9200629471138,650.0,30971.98040915624,478.29204335627
targeted_grid_reinforcement,Zuid-Holland__Zeeland,100.0,48.789616024711016,38,363.1013791451807,700.0,26481.709654016267,391.48308879919693
targeted_grid_reinforcement,Friesland__Groningen,100.0,56.07549735030226,42,359.52548986860734,500.0,20697.627449343036,382.3231173179504
targeted_grid_reinforcement,Noord-Holland__Flevoland,100.0,43.7887937811908,24,205.23294123700924,650.0,15374.014118040563,221.8069553550498
targeted_grid_reinforcement,Noord-Holland__Zuid-Holland,100.0,38.25457550296951,16,139.13188641228263,1200.0,18949.58263694739,158.88146904923002
targeted_grid_reinforcement,Zuid-Holland__Utrecht,100.0,45.56187501981902,14,126.77115065750613,850.0,11787.554780588802,139.25870543809492
targeted_grid_reinforcement,Noord-Holland__Friesland,100.0,37.12679274655576,10,92.54988026393356,850.0,8436.673982243436,101.486554246177
targeted_grid_reinforcement,Friesland__Flevoland,100.0,37.15099485055354,10,85.29808949389817,607.5,5985.685893675431,91.7837753875736
