scenario,solve_status,termination_condition,objective_cost_eur,total_demand_mwh,renewable_dispatch_mwh,renewable_available_mwh,renewable_curtailment_mwh,curtailment_rate_pct,backup_dispatch_mwh,renewable_share_of_demand_pct,max_line_utilisation_pct,line_hours_above_90pct,bess_throughput_mwh,bess_energy_capacity_mwh,bess_equivalent_cycles,emissions_proxy_tco2,curtailment_value_proxy_eur,line_hours_above_threshold,congestion_severity_pct_hours,curtailment_cost_proxy_eur,backup_cost_proxy_eur,line_overload_cost_proxy_eur,total_congestion_cost_proxy_eur,bess_region,bess_power_mw,bess_duration_h,bess_energy_mwh,renewable_dispatch_gain_mwh,backup_reduction_mwh,emissions_reduction_tco2,line_overload_reduction_hours,congestion_cost_reduction_eur,sweep_grid_value_score,congestion_value_per_mwh_bess_eur,backup_reduction_per_mw_bess,renewable_gain_per_mw_bess,sweep_rank,bess_capex_eur,annualised_capex_eur_per_year,fixed_om_eur_per_year,annualised_total_cost_eur_per_year,annualised_congestion_value_eur_per_year,net_annual_value_proxy_eur_per_year,benefit_cost_ratio_proxy,simple_payback_years_proxy
bess_sweep__Zeeland__400MW__1h,ok,optimal,53188735.728741474,2225221.944063123,1665763.4990437352,2602119.150357477,936355.6513137415,35.98434957081446,559850.1307064912,74.85830811115184,100.0,843,3169.1544683348834,400.0,7.9228861708372085,235137.0548967263,60863117.3353932,843,7877.802337244113,60863117.3353932,53185762.417116664,12645000.0,126693879.75250986,Zeeland,400.0,1.0,400.0,3364.997311886633,2973.3116247830912,1248.7908824088809,-12.0,321189.4296270013,0.33398043252064946,802.9735740675033,7.4332790619577285,8.412493279716582,21.0,146000000.0,16030015.206346948,3650000.0,19680015.206346948,16747734.544836497,-2932280.6615104508,0.8510021140347103,8.717596974631613
bess_sweep__Flevoland__400MW__2h,ok,optimal,52929601.74764856,2225221.944063123,1668925.290423011,2602119.150357477,933193.8599344657,35.86284124638429,557090.2866100606,75.00039692111127,100.0,861,6421.336177814936,800.0,8.02667022226867,233977.92037622543,60657600.89574027,861,8011.317054470956,60657600.89574027,52923577.22795576,12915000.0,126496178.12369603,Flevoland,400.0,2.0,800.0,6526.788691162365,5733.155721213669,2407.92540290975,-30.0,518891.0584408343,-0.3918990300409053,648.6138230510428,14.332889303034172,16.316971727905912,24.0,230000000.0,25252763.681231495,5750000.0,31002763.681231495,27056462.332986362,-3946301.3482451327,0.8727113044236714,8.500741788389366
bess_sweep__Zuid-Holland__100MW__2h,ok,optimal,53338488.43387486,2225221.944063123,1663992.3563266878,2602119.150357477,938126.7940307888,36.05241496731269,561440.8887776302,74.77871413079528,100.0,843,1709.6505205975552,200.0,8.548252602987777,235805.17328660467,60978241.61200127,843,7769.309784335584,60978241.61200127,53336884.43387487,12645000.0,126960126.04587615,Zuid-Holland,100.0,2.0,200.0,1593.8545948392712,1382.553553644102,580.672492530517,-12.0,54943.13626071811,-0.8163961984608806,274.71568130359054,13.82553553644102,15.938545948392711,28.0,57500000.0,6313190.920307874,1437500.0,7750690.920307874,2864892.1050231587,-4885798.815284715,0.36963054448691124,20.070563878891765
bess_sweep__Zuid-Holland__200MW__1h,ok,optimal,53333370.198776014,2225221.944063123,1664058.7513772384,2602119.150357477,938060.398980238,36.04986339120436,561386.0863029055,74.78169788038159,100.0,841,1803.4468085106382,200.0,9.017234042553191,235782.1562472203,60973925.93371547,841,7758.32797961332,60973925.93371547,53331678.19877602,12615000.0,126920604.1324915,Zuid-Holland,200.0,1.0,200.0,1660.2496453898493,1437.356028368813,603.6895319148898,-10.0,94465.04964536428,-0.4688128056738359,472.32524822682143,7.186780141844065,8.301248226949246,25.0,73000000.0,8015007.603173474,1825000.0,9840007.603173474,4925677.588651138,-4914330.0145223355,0.5005766039309331,14.820296027534058
bess_sweep__Groningen__50MW__4h,ok,optimal,53343457.23363341,2225221.944063123,1663915.0153881032,2602119.150357477,938204.1349693732,36.05538719625823,561495.0445645624,74.77523848025214,100.0,844,1522.0579447713899,200.0,7.610289723856949,235827.9187171162,60983268.77300926,844,7844.396882412566,60983268.77300926,53342029.23363343,12660000.0,126985298.0066427,Groningen,50.0,4.0,200.0,1516.513656254625,1328.3977667118888,557.9270620189782,-13.0,29771.17549416423,-1.0147466551984818,148.85587747082116,26.567955334237777,30.3302731250925,30.0,49750000.0,5462282.578875073,1243750.0,6706032.578875073,1552354.150767135,-5153678.428107938,0.2314862226672242,32.048099317681334
bess_sweep__Noord-Brabant__50MW__4h,ok,optimal,53344523.02147115,2225221.944063123,1663887.8634339762,2602119.150357477,938231.2869235005,36.05643065170967,561507.4423312743,74.77401828942132,100.0,845,1402.6808510638298,200.0,7.0134042553191485,235833.12577913518,60985033.65002753,845,7757.24573430471,60985033.65002753,53343207.02147105,12675000.0,127003240.67149858,Noord-Brabant,50.0,4.0,200.0,1489.361702127615,1316.0,552.7200000000012,-14.0,11828.510638281703,-1.1815577021276784,59.14255319140852,26.32,29.7872340425523,32.0,49750000.0,5462282.578875073,1243750.0,6706032.578875073,616772.3404246889,-6089260.238450385,0.09197276231070019,80.6618532305515
bess_sweep__Zuid-Holland__100MW__1h,ok,optimal,53400798.61012352,2225221.944063123,1663228.6265545436,2602119.150357477,938890.523802933,36.08176526712657,562104.7643170899,74.74439262079122,100.0,841,901.7234042553191,100.0,9.017234042553191,236084.00101317777,61027884.04719065,841,7772.22361308879,61027884.04719065,53399952.610123545,12615000.0,127042836.6573142,Zuid-Holland,100.0,1.0,100.0,830.1248226950411,718.6780141843483,301.8447659574158,-10.0,-27767.47517733276,-0.9994064028368977,-277.6747517733276,7.1867801418434825,8.301248226950412,29.0,36500000.0,4007503.801586737,912500.0,4920003.801586737,-1447875.491389494,-6367879.29297623,-0.2942834090743067,
bess_sweep__Zuid-Holland__50MW__2h,ok,optimal,53403357.72767296,2225221.944063123,1663195.4290292682,2602119.150357477,938923.7213282083,36.08304105518073,562132.1655544522,74.74290074599806,100.0,843,854.8252602987776,100.0,8.548252602987777,236095.5095328699,61030041.88633354,843,7777.248803817951,61030041.88633354,53402555.727672964,12645000.0,127077597.6140065,Zuid-Holland,50.0,2.0,100.0,796.9272974196356,691.276776822051,290.3362462652731,-12.0,-62528.43186964095,-1.3261980992304403,-625.2843186964095,13.82553553644102,15.938545948392711,33.0,28750000.0,3156595.460153937,718750.0,3875345.460153937,-3260411.090345564,-7135756.550499501,-0.8413214057608308,
bess_sweep__Groningen__400MW__1h,ok,optimal,53204681.98884691,2225221.944063123,1665654.0682566713,2602119.150357477,936465.0821008054,35.98855501955607,560013.6630404941,74.85339036407696,100.0,847,3606.8936170212764,400.0,9.017234042553191,235205.73847700752,60870230.33655235,847,7871.930260844617,60870230.33655235,53201297.988846935,12705000.0,126776528.32539928,Groningen,400.0,1.0,400.0,3255.5665248227306,2809.7792907801922,1180.107302127668,-16.0,238540.85673758388,-0.36990975773046975,596.3521418439597,7.02444822695048,8.138916312056827,23.0,146000000.0,16030015.206346948,3650000.0,19680015.206346948,12438201.81560259,-7241813.390744358,0.632021961628931,11.738031120933922
bess_sweep__Zeeland__200MW__4h,ok,optimal,52968899.02147107,2225221.944063123,1668410.271763537,2602119.150357477,933708.8785939396,35.8826335245128,557511.4423312743,74.97725232374435,100.0,866,5661.885015844274,800.0,7.0773562698053425,234154.80577913517,60691077.10860607,866,8050.500862919631,60691077.10860607,52963587.02147105,12990000.0,126644664.13007712,Zeeland,200.0,4.0,800.0,6011.770031688502,5312.0,2231.040000000008,-35.0,370405.0520597398,-1.4781994784970767,463.0063150746748,26.56,30.05885015844251,34.0,199000000.0,21849130.315500293,4975000.0,26824130.315500293,19313977.714543577,-7510152.600956716,0.7200225128410973,10.30341874372939
bess_sweep__Noord-Holland__200MW__4h,ok,optimal,52966354.551877044,2225221.944063123,1668493.9597067996,2602119.150357477,933625.1906506771,35.87941737880898,557480.4479144944,74.98101320447294,100.0,867,6088.2317790855595,800.0,7.610289723856949,234141.78812408764,60685637.39229401,867,7858.016383874937,60685637.39229401,52960642.55187697,13005000.0,126651279.94417098,Noord-Holland,200.0,4.0,800.0,6095.457974951016,5342.9944167798385,2244.057655047538,-36.0,363789.2379658818,-1.5909335361400165,454.7365474573523,26.71497208389919,30.47728987475508,36.0,199000000.0,21849130.315500293,4975000.0,26824130.315500293,18969010.26536384,-7855120.050136454,0.7071621723520564,10.490795102966487
bess_sweep__Noord-Holland__400MW__2h,ok,optimal,52943857.909490265,2225221.944063123,1668807.8443355304,2602119.150357477,933311.3060219462,35.867354724849115,557237.937896426,74.99511897174565,100.0,865,6665.72841415226,800.0,8.332160517690324,234039.93391649888,60665234.8914265,865,7855.567129491899,60665234.8914265,52937604.100160465,12975000.0,126577838.99158697,Noord-Holland,400.0,2.0,800.0,6409.342603681842,5585.504434848321,2345.911862636305,-34.0,437230.19054989517,-1.0936327201468803,546.537738187369,13.963761087120801,16.023356509204604,31.0,230000000.0,25252763.681231495,5750000.0,31002763.681231495,22798431.364387393,-8204332.316844102,0.7353677110466492,10.088413379144791
bess_sweep__Zuid-Holland__50MW__1h,ok,optimal,53434512.8157973,2225221.944063123,1662813.564143196,2602119.150357477,939305.5862142806,36.09771620508767,562464.1033241821,74.72573999099602,100.0,843,450.86170212765956,50.0,9.017234042553191,236234.92339615646,61054863.10392824,843,7782.59377152817,61054863.10392824,53434089.8157973,12645000.0,127133952.91972554,Zuid-Holland,50.0,1.0,50.0,415.0624113474041,359.33900709217414,150.92238297872245,-12.0,-118883.73758867383,-1.570703201418491,-2377.6747517734766,7.1867801418434825,8.301248226948083,35.0,18250000.0,2003751.9007933685,456250.0,2460001.9007933685,-6198937.745695136,-8658939.646488504,-2.519891445488694,
bess_sweep__Groningen__50MW__2h,ok,optimal,53403953.7513941,2225221.944063123,1663189.1550953614,2602119.150357477,938929.9952621151,36.083282163813514,562138.439488359,74.74261879956464,100.0,845,854.8252602987777,100.0,8.548252602987777,236098.14458511077,61030449.692037486,845,7849.452504710873,61030449.692037486,53403151.75139411,12675000.0,127108601.44343159,Groningen,50.0,2.0,100.0,790.653363512829,685.0028429152444,287.70119402441196,-14.0,-93532.26129472256,-1.6364769221548812,-935.3226129472256,13.700056858304889,15.813067270256578,38.0,28750000.0,3156595.460153937,718750.0,3875345.460153937,-4877039.338939105,-8752384.799093042,-1.2584786025102854,
bess_sweep__Noord-Brabant__50MW__1h,ok,optimal,53437301.02147115,2225221.944063123,1662770.8421573807,2602119.150357477,939348.3082000961,36.099358020214,562494.4423312743,74.72382009325595,100.0,843,350.67021276595744,50.0,7.0134042553191485,236247.6657791352,61057640.03300625,843,7742.18097373726,61057640.03300625,53436972.02147105,12645000.0,127139612.0544773,Noord-Brabant,50.0,1.0,50.0,372.34042553207837,329.0,138.17999999999302,-12.0,-124542.87234044075,-1.5958894255318605,-2490.857446808815,6.58,7.446808510641567,37.0,18250000.0,2003751.9007933685,456250.0,2460001.9007933685,-6494021.200608697,-8954023.101402065,-2.6398439767523465,
